archetype,kind,instance,base_instance,difficulty,sub_class,perturbation_type,paradigm,model,run_label,success,total_tokens,input_tokens,output_tokens,tool_call_count,latency_s,iteration_overflow,error,source_file
C,robustness,rc-low-1,c-low-1,low,,typos,workflow,gpt-5.2-2025-12-11,robustness,True,1047,941,106,0,3.907952841000224,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-low-1,c-low-1,low,,typos,agent,gpt-5.2-2025-12-11,robustness,True,1128,1102,26,0,1.1107334820044343,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-low-2,c-low-2,low,,colloquial,workflow,gpt-5.2-2025-12-11,robustness,True,1050,930,120,0,2.5552194980045897,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-low-2,c-low-2,low,,colloquial,agent,gpt-5.2-2025-12-11,robustness,True,1117,1091,26,0,0.8888977239985252,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-med-1,c-med-1,med,,jargon_synonym,workflow,gpt-5.2-2025-12-11,robustness,True,1273,1101,172,0,4.193513439997332,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-med-1,c-med-1,med,,jargon_synonym,agent,gpt-5.2-2025-12-11,robustness,True,1304,1262,42,0,1.2648330299998634,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-med-2,c-med-2,med,,redundant_selfcorrecting,workflow,gpt-5.2-2025-12-11,robustness,True,1322,1149,173,0,2.866542183001002,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-med-2,c-med-2,med,,redundant_selfcorrecting,agent,gpt-5.2-2025-12-11,robustness,True,1352,1310,42,0,1.1234764589971746,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-high-1,c-high-1,high,,jargon_typos,workflow,gpt-5.2-2025-12-11,robustness,True,2481,2162,319,0,6.06562991499959,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
C,robustness,rc-high-1,c-high-1,high,,jargon_typos,agent,gpt-5.2-2025-12-11,robustness,True,1633,1567,66,0,1.7425360870038276,,,data/results/final/gpt-5.2-2025-12-11/robustness/c_robustness_20260706_201746.json
D,robustness,rd-low-1,d-low-1,low,,indirect_status,workflow,gpt-5.2-2025-12-11,robustness,True,889,818,71,9,5.0511094399989815,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-low-1,d-low-1,low,,indirect_status,agent,gpt-5.2-2025-12-11,robustness,True,5516,5377,139,7,4.794793601002311,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-low-2,d-low-5,low,,numeric_shorthand,workflow,gpt-5.2-2025-12-11,robustness,True,864,794,70,9,4.730210043002444,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-low-2,d-low-5,low,,numeric_shorthand,agent,gpt-5.2-2025-12-11,robustness,True,5578,5393,185,8,4.456597475000308,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-med-1,d-med-1,med,,numeric_as_words,workflow,gpt-5.2-2025-12-11,robustness,True,864,794,70,9,4.345496333997289,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-med-1,d-med-1,med,,numeric_as_words,agent,gpt-5.2-2025-12-11,robustness,True,5447,5305,142,7,4.40066218800348,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-med-2,d-med-3,med,,numeric_shorthand,workflow,gpt-5.2-2025-12-11,robustness,True,861,791,70,9,4.101651816999947,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-med-2,d-med-3,med,,numeric_shorthand,agent,gpt-5.2-2025-12-11,robustness,True,5438,5296,142,7,4.226643860005424,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-high-1,d-high-1,high,,negated_and_indirect,workflow,gpt-5.2-2025-12-11,robustness,True,864,794,70,9,4.465359392997925,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-high-1,d-high-1,high,,negated_and_indirect,agent,gpt-5.2-2025-12-11,robustness,False,5444,5305,139,7,4.621507791001932,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-high-2,d-high-3,high,,segment_paraphrase,workflow,gpt-5.2-2025-12-11,robustness,True,867,796,71,9,4.523534056002973,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
D,robustness,rd-high-2,d-high-3,high,,segment_paraphrase,agent,gpt-5.2-2025-12-11,robustness,True,5455,5311,144,7,4.27496532099758,,,data/results/final/gpt-5.2-2025-12-11/robustness/d_robustness_20260706_201844.json
E,robustness,re-low-1,e-low-2,low,,colloquial_typos,workflow,gpt-5.2-2025-12-11,robustness,True,1322,1077,245,0,4.967116432999319,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-low-1,e-low-2,low,,colloquial_typos,agent,gpt-5.2-2025-12-11,robustness,True,1212,1076,136,0,2.7376713630001177,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-low-2,e-low-4,low,,angry_rambling,workflow,gpt-5.2-2025-12-11,robustness,True,1334,1112,222,0,3.7109793549971073,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-low-2,e-low-4,low,,angry_rambling,agent,gpt-5.2-2025-12-11,robustness,True,1288,1111,177,0,3.009466579002037,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-med-1,e-med-1,med,,redundant_selfcorrecting,workflow,gpt-5.2-2025-12-11,robustness,True,1343,1127,216,0,4.027499611998792,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-med-1,e-med-1,med,,redundant_selfcorrecting,agent,gpt-5.2-2025-12-11,robustness,True,1308,1126,182,0,3.274065107005299,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-med-2,e-med-3,med,,jargon_indirect,workflow,gpt-5.2-2025-12-11,robustness,True,1374,1123,251,0,3.5056307440027012,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-med-2,e-med-3,med,,jargon_indirect,agent,gpt-5.2-2025-12-11,robustness,True,1276,1122,154,0,2.486178694998671,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-high-1,e-high-3,high,,buried_noise,workflow,gpt-5.2-2025-12-11,robustness,True,1364,1132,232,0,3.838459749997128,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
E,robustness,re-high-1,e-high-3,high,,buried_noise,agent,gpt-5.2-2025-12-11,robustness,True,1326,1131,195,0,3.5806464159977622,,,data/results/final/gpt-5.2-2025-12-11/robustness/e_robustness_20260706_201924.json
F,robustness,rf-low-1,f-low-1,low,,colloquial_buried,workflow,gpt-5.2-2025-12-11,robustness,True,3049,2837,212,1,6.153459255998314,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-low-1,f-low-1,low,,colloquial_buried,agent,gpt-5.2-2025-12-11,robustness,True,6227,6090,137,1,3.9217289610023727,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-low-2,f-low-3,low,,values_as_words,workflow,gpt-5.2-2025-12-11,robustness,True,2879,2689,190,1,5.822943105995364,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-low-2,f-low-3,low,,values_as_words,agent,gpt-5.2-2025-12-11,robustness,True,5802,5692,110,1,3.727747609002108,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-low-3,f-low-4,low,,self_correction_on_id,workflow,gpt-5.2-2025-12-11,robustness,True,2812,2695,117,1,3.9377857969957404,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-low-3,f-low-4,low,,self_correction_on_id,agent,gpt-5.2-2025-12-11,robustness,True,5462,5416,46,1,2.830703851999715,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-med-1,f-med-1,med,,jargon_synonym,workflow,gpt-5.2-2025-12-11,robustness,True,3396,3034,362,5,6.119215614002314,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-med-1,f-med-1,med,,jargon_synonym,agent,gpt-5.2-2025-12-11,robustness,True,9192,8983,209,5,5.5672082860037335,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-med-2,f-med-4,med,,redundant_buried,workflow,gpt-5.2-2025-12-11,robustness,True,5093,4182,911,18,11.905511338001816,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
F,robustness,rf-med-2,f-med-4,med,,redundant_buried,agent,gpt-5.2-2025-12-11,robustness,True,12393,11868,525,18,8.782334871000785,,,data/results/final/gpt-5.2-2025-12-11/robustness/f_robustness_20260706_202028.json
G,robustness,rg-low-1,g-low-2,low,,colloquial_indirect,workflow,gpt-5.2-2025-12-11,robustness,True,4540,4182,358,3,10.794334497993987,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-low-1,g-low-2,low,,colloquial_indirect,agent,gpt-5.2-2025-12-11,robustness,True,5569,5184,385,4,8.880830938003783,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-low-2,g-low-5,low,,values_as_words,workflow,gpt-5.2-2025-12-11,robustness,True,2643,2325,318,3,13.195340344995202,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-low-2,g-low-5,low,,values_as_words,agent,gpt-5.2-2025-12-11,robustness,True,3193,2882,311,4,5.533169435999298,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-med-1,g-med-1,med,,redundant_buried,workflow,gpt-5.2-2025-12-11,robustness,True,3180,2621,559,5,11.051772147999145,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-med-1,g-med-1,med,,redundant_buried,agent,gpt-5.2-2025-12-11,robustness,True,3980,3520,460,3,7.164658498004428,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-med-2,g-med-2,med,,self_correction_on_ids,workflow,gpt-5.2-2025-12-11,robustness,True,3080,2654,426,5,7.970732724003028,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-med-2,g-med-2,med,,self_correction_on_ids,agent,gpt-5.2-2025-12-11,robustness,True,3570,3153,417,5,7.980311868996068,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-high-1,g-high-1,high,,jargon_synonym,workflow,gpt-5.2-2025-12-11,robustness,True,4523,3457,1066,13,16.481488067998725,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-high-1,g-high-1,high,,jargon_synonym,agent,gpt-5.2-2025-12-11,robustness,True,15251,14425,826,5,12.294275070998992,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-high-2,g-high-5,high,,colloquial_buried,workflow,gpt-5.2-2025-12-11,robustness,True,3979,3037,942,8,13.39240265099943,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
G,robustness,rg-high-2,g-high-5,high,,colloquial_buried,agent,gpt-5.2-2025-12-11,robustness,True,4368,3482,886,5,15.224220552998304,False,,data/results/final/gpt-5.2-2025-12-11/robustness/g_robustness_20260706_202243.json
H,robustness,rh-low-1,h-low-1,low,social_post,colloquial_buried,workflow,gpt-5.2-2025-12-11,robustness,True,549,474,75,0,3.7007143450027797,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-low-1,h-low-1,low,social_post,colloquial_buried,agent,gpt-5.2-2025-12-11,robustness,True,811,719,92,0,2.0254642790023354,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-low-2,h-low-3,low,social_post,indirect_request,workflow,gpt-5.2-2025-12-11,robustness,True,526,447,79,0,7.52494861100422,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-low-2,h-low-3,low,social_post,indirect_request,agent,gpt-5.2-2025-12-11,robustness,True,767,692,75,0,1.8416568610045942,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-low-3,h-low-5,low,social_post,redundant_noise,workflow,gpt-5.2-2025-12-11,robustness,True,530,449,81,0,2.0037942069975543,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-low-3,h-low-5,low,social_post,redundant_noise,agent,gpt-5.2-2025-12-11,robustness,True,769,694,75,0,2.422921288998623,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-med-1,h-med-1,med,summary_email,colloquial_indirect,workflow,gpt-5.2-2025-12-11,robustness,False,1795,1283,512,0,7.485857585001213,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-med-1,h-med-1,med,summary_email,colloquial_indirect,agent,gpt-5.2-2025-12-11,robustness,False,3253,2457,796,0,11.286770696999156,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-med-2,h-med-2,med,one_page_report,redundant_buried,workflow,gpt-5.2-2025-12-11,robustness,True,1714,1192,522,0,7.478424177003035,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
H,robustness,rh-med-2,h-med-2,med,one_page_report,redundant_buried,agent,gpt-5.2-2025-12-11,robustness,True,2150,1589,561,0,8.498520938999718,False,,data/results/final/gpt-5.2-2025-12-11/robustness/h_robustness_20260706_202405.json
A,clean,a-low-1,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,4785,4574,211,10,20.563893250000547,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-1,,low,,,agent,gpt-5.2-2025-12-11,run1,True,3966,3883,83,2,4.151387496000098,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-2,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,5326,5095,231,8,19.835498054999334,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-2,,low,,,agent,gpt-5.2-2025-12-11,run1,True,10623,10506,117,3,8.117862336002872,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-3,,low,,,workflow,gpt-5.2-2025-12-11,run1,False,7612,7399,213,10,24.6958496820007,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-3,,low,,,agent,gpt-5.2-2025-12-11,run1,True,7597,7407,190,5,7.819321681003203,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-4,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,4127,3951,176,6,14.509383829004946,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-4,,low,,,agent,gpt-5.2-2025-12-11,run1,True,5423,5296,127,4,5.114984818996163,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-5,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,5095,4851,244,8,26.942479346995242,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-low-5,,low,,,agent,gpt-5.2-2025-12-11,run1,True,15008,14799,209,6,9.272155016995384,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-1,,med,,,workflow,gpt-5.2-2025-12-11,run1,False,3928,3764,164,6,14.234311883999908,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-1,,med,,,agent,gpt-5.2-2025-12-11,run1,True,32879,32683,196,7,15.348340215001372,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-2,,med,,,workflow,gpt-5.2-2025-12-11,run1,True,8378,8015,363,10,25.155426323995925,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-2,,med,,,agent,gpt-5.2-2025-12-11,run1,True,31074,30768,306,9,11.533712820004439,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-3,,med,,,workflow,gpt-5.2-2025-12-11,run1,True,7772,7442,330,9,22.4155379310032,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-3,,med,,,agent,gpt-5.2-2025-12-11,run1,True,14992,14814,178,4,18.432853669997712,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-4,,med,,,workflow,gpt-5.2-2025-12-11,run1,True,7408,7165,243,9,19.865651966996666,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-4,,med,,,agent,gpt-5.2-2025-12-11,run1,True,4156,4056,100,3,3.4258700229984242,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-5,,med,,,workflow,gpt-5.2-2025-12-11,run1,True,6496,6226,270,10,24.622361791000003,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-med-5,,med,,,agent,gpt-5.2-2025-12-11,run1,False,2940,2809,131,3,6.549242047003645,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-1,,high,,,workflow,gpt-5.2-2025-12-11,run1,True,5740,5524,216,8,20.244424090000393,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-1,,high,,,agent,gpt-5.2-2025-12-11,run1,True,8483,8317,166,5,6.376961299996765,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-2,,high,,,workflow,gpt-5.2-2025-12-11,run1,True,6594,6358,236,10,27.035626328004582,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-2,,high,,,agent,gpt-5.2-2025-12-11,run1,True,12780,12598,182,6,9.915924917004304,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-3,,high,,,workflow,gpt-5.2-2025-12-11,run1,False,5586,5379,207,8,23.42307466299826,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-3,,high,,,agent,gpt-5.2-2025-12-11,run1,True,10172,10052,120,3,11.059770151994599,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-4,,high,,,workflow,gpt-5.2-2025-12-11,run1,True,5281,5086,195,8,19.131371848998242,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-4,,high,,,agent,gpt-5.2-2025-12-11,run1,True,1655,1617,38,1,5.546423822001088,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-5,,high,,,workflow,gpt-5.2-2025-12-11,run1,True,4835,4627,208,10,29.9892834439961,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
A,clean,a-high-5,,high,,,agent,gpt-5.2-2025-12-11,run1,True,3881,3817,64,2,4.623716828995384,,,data/results/final/gpt-5.2-2025-12-11/run1/a_validation_20260707_094853.json
B,clean,b-low-1,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,1986,1876,110,0,4.401457299005415,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-1,,low,,,agent,gpt-5.2-2025-12-11,run1,True,4276,4210,66,2,3.6366419730038615,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-2,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,1934,1863,71,0,2.7842593509994913,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-2,,low,,,agent,gpt-5.2-2025-12-11,run1,True,2720,2688,32,1,2.244989655999234,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-3,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,1935,1864,71,0,2.8627065820037387,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-3,,low,,,agent,gpt-5.2-2025-12-11,run1,True,2714,2684,30,1,2.569893558000331,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-4,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,1990,1880,110,0,3.7892978460004088,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-4,,low,,,agent,gpt-5.2-2025-12-11,run1,True,4353,4288,65,2,4.09418081700278,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-5,,low,,,workflow,gpt-5.2-2025-12-11,run1,True,1987,1876,111,0,2.867474430000584,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-low-5,,low,,,agent,gpt-5.2-2025-12-11,run1,True,6010,5953,57,2,4.982213159993989,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-med-1,,med,,,workflow,gpt-5.2-2025-12-11,run1,False,2068,1885,183,1,4.391569778003031,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-med-1,,med,,,agent,gpt-5.2-2025-12-11,run1,True,7450,7285,165,5,5.509273069998017,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
B,clean,b-med-2,,med,,,workflow,gpt-5.2-2025-12-11,run1,True,2036,1892,144,1,4.202997513995797,,,data/results/final/gpt-5.2-2025-12-11/run1/b_validation_20260706_193428.json
